title,Video Likes,Video Views,Picture Post Likes,time
"“Many college graduates are often unsatisfied with their first jobs. In Scalescape’s latest episode, Jimmy Lai explains how he co-founded…”",0,0,16 likes,SEPTEMBER 7
“Pinpoint and analyze a problem that will become the next billion dollar project and start crafting a solution to match your aspiration…”,0,0,14 likes,SEPTEMBER 6
"“Identify and Capture Your Early Target Market  By clearly defining the early target market - Cantonese speaking, Hong Kong undergrads and…”",27,76 views,0,SEPTEMBER 5
“Jimmy Lai co-founded @ongradconsulting to help young talent explore job #opportunities and pursue their dream #careers. Tune in to…”,17,84 views,0,SEPTEMBER 1
"“90% of #startups fail, but Cameron van Breda shares the story of Hollo’s success in Scalescape’s latest episode! Tune in to learn more…”",0,0,17 likes,AUGUST 30
“Bridging the Diagnostic Gaps in Mental Health Cameron van Breda from Hollo Limited tailors the product to mental health professionals…”,16,83 views,0,AUGUST 29
"“Diversity can positively impact the startup ecosystem in a myriad of ways, all of which warrant the conceptualisation of diversity as more…”",0,0,13 likes,AUGUST 29
“”,0,0,30 likes,week of AUGUST 28
"“Cameron van Breda is a student entrepreneur and the CEO of Hollo, which uses #tech and #data to bridge the diagnostic gaps in #mentalhealth…”",15,85 views,0,week of AUGUST 28
“Did you tune in to Scalescape’s episode with Henri Arslanian from PwC? Check out link in bio! Henri touches upon the latest shifts in the…”,0,0,20 likes,AUGUST 23
"“Every product/business-related decision you make shakes the DNA and ethos of your brand, which is what consumers feel on the other…”",0,0,20 likes,week of AUGUST 28
“Future of Finance in Hong Kong Are banks going to be redundant in the future? Will physical currency disappear? All this and more on this…”,17,68 views,0,AUGUST 22
